,Name,Categories,City,Latitude,Longitude
0,AMC North Point Mall 12,Movie Theater,Alpharetta,34.0476688938189,-84.29599944039009
1,Total Wine & More,Wine Shop,Alpharetta,34.0464783,-84.2928514
2,Whole Foods Market,Grocery Store,Alpharetta,34.0693701917659,-84.27832073505074
3,Chick-fil-A,Fast Food Restaurant,Alpharetta,34.069276,-84.280967
4,Regal Avalon,Movie Theater,Alpharetta,34.071753,-84.2765
5,REI,Sporting Goods Shop,Alpharetta,34.0422494,-84.3055535
6,Crust Pasta & Pizzeria,Italian Restaurant,Alpharetta,34.07170872936261,-84.29661717580292
7,North Point Community Church,Church,Alpharetta,34.05763173613279,-84.26006550525655
8,Sushi Nami Japanese Restaurant,Asian Restaurant,Alpharetta,34.088730569430474,-84.27168465610984
9,Pearle Vision,Optical Shop,Roswell,34.0413896,-84.3415321
10,Brooklyn Bagel Bakery,Bagel Shop,Johns Creek,34.02162076694389,-84.26815190621356
11,Pampas Argentine Steakhouse,Argentinian Restaurant,Alpharetta,34.04816559836408,-84.22446678166604
12,'Cue Barbecue,BBQ Joint,Milton,34.1142385627348,-84.26944189175597
13,Trader Joe's,Grocery Store,Roswell,34.05920651438986,-84.3800304821063
14,Moxie Burger,Burger Joint,Roswell,34.01365363012537,-84.36189869812259
15,Egg Harbor Cafe,Breakfast Spot,Johns Creek,34.03182003069346,-84.18654086285058
16,Trader Joe's,Grocery Store,Norcross,33.97898292387667,-84.2198354060636
17,St Ives Country Club,Golf Course,Johns Creek,34.028610866941584,-84.18185709735097
18,Stoney River Legendary Steaks,Restaurant,Duluth,34.01705649601249,-84.18970078701099
19,Life Time Athletic and Tennis Peachtree Corners,Sports Club,Peachtree Corners,33.9648037,-84.244546
20,Brook Run Park,Park,Atlanta,33.933562495358814,-84.29906576253467
21,Fogo de Chão,Steakhouse,Dunwoody,33.93097344463936,-84.33704794567052
22,J. Alexander's,American Restaurant,Dunwoody,33.932081411220224,-84.33698284686385
23,The Capital Grille,American Restaurant,Dunwoody,33.92656407614956,-84.34057251804786
24,Trader Joe's,Grocery Store,Marietta,33.98323092406469,-84.42643840329751
25,Mojito's Cuban-American Bistro,Cuban Restaurant,Norcross,33.94187972586821,-84.21312055465103
26,Seed Kitchen & Bar,American Restaurant,Marietta,33.979832766792036,-84.42812655403624
27,Dutch Monkey Doughnuts,Donut Shop,Cumming,34.15084739141953,-84.17223653786715
28,Alon's Bakery & Market,Bakery,Atlanta,33.92455992359866,-84.33640231153925
29,Reveille Cafe,Café,Marietta,34.03456812579866,-84.46546486830867
30,Newk's Eatery,Sandwich Place,Sandy Springs,33.919758917443495,-84.34129734214615
31,Moxie Burger,Burger Joint,Marietta,33.950870511666906,-84.41329155088594
32,"Tower Beer, Wine & Spirits",Liquor Store,Atlanta,33.910520010322536,-84.2648732323857
33,LUSH,Cosmetics Shop,Dunwoody,33.923276,-84.340056
34,Trader Joe's,Grocery Store,Sandy Springs,33.926247668005686,-84.37847910289233
35,Rumi's Kitchen,Middle Eastern Restaurant,Atlanta,33.92200158132579,-84.37955126508504
36,Sprouts Farmers Market,Health Food Store,Duluth,34.0200287,-84.1200628
37,Tea Top,Bubble Tea Shop,Doraville,33.908004421996516,-84.28730634515561
38,Bruster's Real Ice Cream,Ice Cream Shop,Marietta,34.04238665257773,-84.48201940106165
39,Baldino's Giant Jersey Subs,Sandwich Place,Doraville,33.906237613340345,-84.26951109468686
40,Sweet Hut Bakery & Cafe,Bakery,Duluth,33.962225043522785,-84.13522807556453
41,Il Giallo Osteria & Bar,Restaurant,Sandy Springs,33.91633225746139,-84.38079258451728
42,Pappadeaux Seafood Kitchen,Seafood Restaurant,Norcross,33.91347,-84.20665
43,Haru Ichiban,Sushi Restaurant,Duluth,33.95689315794606,-84.13639922413105
44,Under The Cork Tree,Tapas Restaurant,Sandy Springs,33.90780005274441,-84.38001056417939
45,Hovan Mediterranean Gourmet,Mediterranean Restaurant,Brookhaven,33.89228444702467,-84.32559707853103
46,Stone Summit Climbing & Fitness,Gym / Fitness Center,Atlanta,33.88421656841107,-84.2676643753611
47,Sprouts Farmers Market,Grocery Store,Cumming,34.18409363067877,-84.1437023878097
48,Chattahoochee Nature Trails & Park,Trail,Marietta,33.92150513842686,-84.43935109379494
49,Atlanta Gladiators,Hockey Arena,Duluth,33.99191947460547,-84.09381641594625
50,Ray's Donuts,Donut Shop,Marietta,34.0683435855743,-84.52203562890026
51,Town Center Park,Plaza,Suwanee,34.055928593628785,-84.06496545602876
52,Marie’s Italian Deli,Italian Restaurant,Cumming,34.189748307406084,-84.13620286414033
53,Pho Dai Loi 2,Vietnamese Restaurant,Atlanta,33.86514532605898,-84.30489897784675
54,Sims Lake Park,Park,Suwanee,34.0747626464391,-84.07514456310363
55,"Three-13 Salon, Spa & Boutique",Salon / Barbershop,Marietta,34.01621610877048,-84.52785025061799
56,Century House Tavern,American Restaurant,Woodstock,34.09904632111632,-84.51967626228455
57,Capital City Country Club,Golf Course,Brookhaven,33.864402334983204,-84.35032904148102
58,The Beer Growler Brookhaven,Beer Store,Brookhaven,33.860912799805604,-84.33117709778938
59,Lee's Bakery,Vietnamese Restaurant,Atlanta,33.86003034824964,-84.30902424659719
60,Chick-fil-A,Fast Food Restaurant,Woodstock,34.1229819,-84.5254224
61,Nam Phuong,Vietnamese Restaurant,Atlanta,33.861269253111324,-84.3079345243711
62,Total Wine & More,Wine Shop,Brookhaven,33.8588311,-84.3420887
63,Chattahochee River National Recreation Area Palisades: Indian Trail,Trail,Atlanta,33.88629412576283,-84.44142790708977
64,Chattahoochee Coffee Company - RIVERSIDE,Coffee Shop,Atlanta,33.8965574339531,-84.4451637477367
65,Heirloom Market BBQ,BBQ Joint,Atlanta,33.89869707406532,-84.44719421774158
66,Cuban Diner,Cuban Restaurant,Marietta,33.950441377899345,-84.50825249250563
67,Mega Package Store,Wine Shop,Suwanee,34.024394579724714,-84.04470041440051
68,Jinya Ramen Bar,Ramen Restaurant,Atlanta,33.85661843873709,-84.38284609907183
69,Red Hare Brewing Company,Brewery,Marietta,33.924399259598864,-84.49549265734274
70,St. Cecilia,Italian Restaurant,Atlanta,33.85107104271073,-84.36100019853922
71,bartaco Chastain Park,Mexican Restaurant,Atlanta,33.8583927,-84.38141259999999
72,QuikTrip,Gas Station,Lawrenceville,33.95837114415276,-84.05839883612201
73,AMC Phipps Plaza 14,Movie Theater,Atlanta,33.85273825701329,-84.36274224470112
74,Suitsupply,Men's Store,Atlanta,33.84739857410877,-84.36500082285498
75,Chick-fil-A,Fast Food Restaurant,Lawrenceville,33.95741,-84.0576959
